,time,low,high,open,close,volume
0,1611100800,35641.0,36415.34,35921.91,35937.07,2296.98332526
1,1611014400,35895.11,37857.0,36624.23,35917.28,18904.77910604
2,1610928000,34736.46,37402.0,35820.01,36624.23,16609.64108414
3,1610841600,33850.03,36860.0,36004.8,35820.0,19182.04934663
4,1610755200,35372.59,37948.0,36754.6,36006.94,20861.42545209
5,1610668800,34298.93,39697.0,39123.05,36754.67,36421.05918785
6,1610582400,36751.11,40127.66,37393.67,39125.14,31868.76049365
7,1610496000,32309.04,37888.0,34035.53,37393.66,39608.73718747
8,1610409600,32500.0,36604.51,35456.89,34038.98,48227.62752035
9,1610323200,30100.0,38273.88,38168.89,35452.59,102503.15672849
10,1610236800,34444.0,41452.12,40257.43,38171.57,43736.57031589
11,1610150400,38800.0,41406.94,40642.15,40257.43,27152.97102881
12,1610064000,36565.08,41986.37,39510.55,40665.15,48522.48490272
13,1609977600,36200.0,40425.0,36859.26,39505.56,50346.30569052
14,1609891200,33352.54,37000.0,34043.91,36859.26,45744.10320015
15,1609804800,29891.13,34499.67,32020.22,34030.64,42282.56920027
16,1609718400,27678.0,33666.99,33082.84,32019.99,46045.38968508
17,1609632000,32008.62,34810.0,32222.88,33080.66,36951.71650628
18,1609545600,29039.0,33300.0,29413.29,32225.91,46675.24652146
19,1609459200,28700.0,29688.88,28990.08,29412.84,22211.25251806
20,1609372800,28000.0,29321.9,28897.42,28990.08,28813.88691084
21,1609286400,27311.73,29018.26,27366.35,28897.42,28181.49681491
22,1609200000,25833.73,27396.77,27039.39,27366.35,20668.10433798
23,1609113600,26086.19,27477.0,26255.16,27040.36,21265.70934972
24,1609027200,25772.55,28387.0,26482.64,26258.65,33627.00745897
25,1608940800,24490.01,26822.0,24704.71,26475.35,24782.44015598
26,1608854400,23416.0,24770.95,23718.61,24704.71,15792.47583445
27,1608768000,22712.89,23785.0,23226.18,23717.96,16440.75295146
28,1608681600,22600.0,24090.0,23824.13,23228.35,23412.12172023
29,1608595200,22380.05,23839.78,22729.4,23823.27,18597.6512303
30,1608508800,21913.84,24118.75,23476.51,22729.4,25728.63855953
31,1608422400,23100.0,24300.0,23850.0,23476.51,14963.41787144
32,1608336000,22770.0,24200.0,23138.89,23849.99,20577.66441198
33,1608249600,22329.0,23280.0,22826.37,23137.76,24829.23581848
34,1608163200,21252.01,23776.94,21360.5,22826.48,53602.34952384
35,1608076800,19300.0,21569.94,19443.19,21359.65,33350.23500216
36,1607990400,19051.27,19565.0,19272.37,19444.6,15345.21212651
37,1607904000,18967.68,19349.98,19166.65,19272.37,9102.36972564
38,1607817600,18730.0,19421.03,18821.28,19166.65,10624.20069187
39,1607731200,18023.57,18955.34,18044.19,18821.28,8616.1725039
40,1607644800,17580.0,18293.08,18257.18,18042.15,16953.63356031
41,1607558400,17905.0,18556.42,18546.55,18253.44,14899.20296937
42,1607472000,17639.0,18647.33,18316.22,18546.55,20667.36635634
43,1607385600,18200.0,19299.51,19177.08,18316.22,15161.86263318
44,1607299200,18901.0,19432.57,19375.6,19177.71,8977.45166263
45,1607212800,18878.0,19430.25,19158.96,19375.6,6665.28189472
46,1607126400,18501.0,19189.98,18658.09,19158.96,7082.22230272
47,1607040000,18576.05,19546.46,19446.43,18658.1,16382.87739223
48,1606953600,18885.0,19625.64,19222.45,19448.64,14648.29683367
49,1606867200,18335.0,19340.0,18778.18,19225.63,16227.13637423
50,1606780800,18109.0,19915.14,19713.94,18782.97,30442.86543674
51,1606694400,18201.47,19873.23,18202.02,19713.94,27293.4791942
52,1606608000,17535.26,18359.0,17736.1,18202.04,8932.25029132
53,1606521600,16880.0,17933.25,17155.43,17739.85,13157.9519653
54,1606435200,16400.0,17475.0,17169.99,17153.95,23333.98429789
55,1606348800,16200.0,18915.48,18717.24,17170.0,48644.17078197
56,1606262400,18502.0,19500.0,19172.9,18721.93,20485.39373121
57,1606176000,18052.02,19469.0,18384.82,19172.84,26623.09452709
58,1606089600,18001.0,18777.77,18437.18,18384.82,17655.66362172
59,1606003200,17610.77,18773.56,18721.21,18437.66,15423.83816127
60,1605916800,18350.0,18980.0,18677.84,18721.21,13604.27139959
61,1605830400,17764.76,18830.3,17821.92,18675.25,17901.931678
62,1605744000,17356.0,18193.29,17790.18,17821.58,17141.49267548
63,1605657600,17205.02,18488.0,17679.86,17782.91,32425.98660226
64,1605571200,16575.42,17880.0,16726.49,17679.36,25230.22403641
65,1605484800,15879.0,16892.0,15970.0,16726.64,13948.30524238
66,1605398400,15796.09,16175.6,16082.01,15966.89,6250.07966791
67,1605312000,15708.24,16339.6,16339.56,16082.01,9205.916488
68,1605225600,15975.0,16491.92,16310.81,16339.56,14593.51518544
